district_code,name,npsn,latitude,longitude,land_area,demand
051613,SD NEGERI 1 BANGOAN,20515772,-8.045995000000,111.941321700000,2.1002,101.0
051613,SD NEGERI 1 BULUSARI,20516017,-8.051283300000,111.950025000000,1.3002,111.0
051613,SD NEGERI 1 GENDINGAN,20516094,-8.024300000000,111.908100000000,1.2602,57.0
051613,SD NEGERI 1 KEDUNGWARU,20515993,-8.051401700000,111.908930000000,4.0002,372.0
051613,SD NEGERI 1 KETANON,20515962,-8.041995000000,111.906631700000,1.4002,120.0
051613,SD NEGERI 1 MAJAN,20515971,-8.041835000000,111.901583300000,2.3842,291.0
051613,SD NEGERI 1 NGUJANG,20515335,-8.026200000000,111.919600000000,3.2382,120.0
051613,SD NEGERI 1 PLANDAAN,20515391,-8.054953300000,111.900713600000,1.9142,78.0
051613,SD NEGERI 1 PLOSOKANDANG,20515389,-8.074725000000,111.934438300000,3.4252,122.0
051613,SD NEGERI 1 REJOAGUNG,20515205,-8.039865000000,111.916061700000,1.8472,99.0
051613,SD NEGERI 1 RINGINPITU,20515209,-8.057653300000,111.935791700000,2.1702,146.0
051613,SD NEGERI 1 TAPAN,20515632,-8.031781700000,111.926588300000,2.8602,194.0
051613,SD NEGERI 1 TAWANGSARI,20515656,-8.050881700000,111.901846700000,1.1222,216.0
051613,SD NEGERI 1 TUNGGULSARI,20515615,-8.068203300000,111.926065000000,2.2002,185.0
051613,SD NEGERI 2 BANGOAN,20515771,-8.049000000000,111.938200000000,2.7002,259.0
051613,SD NEGERI 2 GENDINGAN,20516093,-8.032606700000,111.910620000000,1.9952,136.0
051613,SD NEGERI 2 KEDUNGWARU,20515994,-8.054176700000,111.912626700000,3.7502,72.0
051613,SD NEGERI 2 KETANON,20515961,-8.052016700000,111.904088300000,1.1202,190.0
051613,SD NEGERI 2 NGUJANG,20515334,-8.026341700000,111.918751700000,1.8502,33.0
051613,SD NEGERI 2 PLANDAAN,20515390,-8.052600000000,111.902000000000,2.4002,18.0
051613,SD NEGERI 2 PLOSOKANDANG,20515388,-8.078293300000,111.925230000000,1.6242,134.0
051613,SD NEGERI 2 REJOAGUNG,20515204,-8.044353300000,111.918453300000,1.8002,117.0
051613,SD NEGERI 2 RINGINPITU,20515210,-8.057700000000,111.927800000000,3.2802,204.0
051613,SD NEGERI 2 TAPAN,20515643,-8.031581700000,111.917596700000,1.2222,65.0
051613,SD NEGERI 2 TAWANGSARI,20515655,-8.050506700000,111.900801700000,1.8902,79.0
051613,SD NEGERI 3 KETANON,20515960,-8.038476700000,111.908635000000,2.1502,38.0
051613,SD NEGERI 3 PLOSOKANDANG,20515387,-8.077403300000,111.924035000000,1.9572,36.0
051613,SD NEGERI 3 REJOAGUNG,20515203,-8.045336700000,111.911696700000,1.8502,101.0
051613,SD NEGERI 4 TAPAN,20515645,-8.027000000000,111.924800000000,3.2492,109.0
051613,SD NEGERI BORO,20516055,-8.008011700000,111.914298300000,3.2402,181.0
051613,SD NEGERI LODERESAN,20515973,-8.058166700000,111.950401700000,1.9002,113.0
051613,SD NEGERI MANGUNSARI,20515969,-8.054425000000,111.894375000000,3.3192,86.0
051613,SD NEGERI SIMO,20537259,-8.036300000000,111.902600000000,1.7352,166.0
051613,SMP N 1 KEDUNGWARU,20515530,-8.055880100000,111.902521800000,5.0352,900.0
051613,SMP N 3 KEDUNGWARU,20515503,-8.049130000000,111.937678300000,9.3202,631.0
051613,SMP NEGERI 2 KEDUNGWARU,20515487,-8.031530000000,111.925975000000,14.5802,231.0
